user_id,age_group,gender,country,region,subscription_plan,monthly_fee,subscription_start_date,subscription_end_date,payment_method
U100049,30,Female,UK,Europe,Premium,17.99,2022-10-11,2026-02-07,Card
U100050,30,Male,Brazil,South America,Basic,8.99,2022-08-25,2026-02-07,Bank Transfer
U100051,17,Female,France,Europe,Premium,17.99,2022-12-20,2026-02-07,Bank Transfer
U100052,60,Female,France,Europe,Premium,17.99,2022-12-05,2026-02-07,Card
U100053,50,Male,South Africa,Africa,Standard,13.99,2022-09-13,2026-02-07,Card
U100054,17,Male,Canada,North America,Standard,13.99,2022-12-30,2026-02-07,Wallet
U100055,21,Female,South Africa,Africa,Basic,8.99,2022-03-01,2026-02-07,Card
U100056,21,Female,India,Asia,Basic,8.99,2023-09-05,2026-02-07,Card
U100057,21,Female,Canada,North America,Standard,13.99,2023-08-12,2026-02-07,Card
U100058,40,Male,South Africa,Africa,Premium,17.99,2023-10-15,2026-02-07,Wallet
U100059,30,Female,Japan,Asia,Standard,13.99,2023-05-09,2026-02-07,Wallet
U100060,60,Male,Canada,North America,Basic,8.99,2023-04-28,2026-02-07,Bank Transfer
U100061,17,Female,Canada,North America,Standard,13.99,2023-07-17,2026-02-07,Card
U100062,40,Female,USA,North America,Basic,8.99,2024-02-29,2026-02-07,Card
U100063,17,Female,Canada,North America,Basic,8.99,2022-08-16,2026-02-07,Wallet
U100064,17,Female,Brazil,South America,Standard,13.99,2023-11-28,2026-02-07,Card
U100065,50,Male,Canada,North America,Basic,8.99,2024-01-29,2026-02-07,Bank Transfer
U100066,30,Female,India,Asia,Basic,8.99,2023-06-25,2026-02-07,Wallet
U100067,50,Female,Nigeria,Africa,Standard,13.99,2022-11-22,2026-02-07,Bank Transfer
U100068,30,Female,USA,North America,Basic,8.99,2022-03-24,2026-02-07,Wallet
U100069,30,Male,USA,North America,Basic,8.99,2024-06-06,2025-02-16 00:00:00,Bank Transfer
U100070,60,Male,Nigeria,Africa,Standard,13.99,2024-03-08,2026-02-07,Card
U100071,17,Female,Canada,North America,Basic,8.99,2023-12-20,2025-04-11 00:00:00,Bank Transfer
U100072,30,Male,France,Europe,Basic,8.99,2023-11-10,2024-04-12 00:00:00,Bank Transfer
U100073,17,Male,India,Asia,Basic,8.99,2024-01-24,2024-05-11 00:00:00,Card
U100074,40,Male,France,Europe,Standard,13.99,2023-08-05,2026-02-07,Bank Transfer
U100075,21,Female,South Africa,Africa,Basic,8.99,2023-12-30,2026-02-07,Bank Transfer
U100076,40,Male,UK,Europe,Basic,8.99,2023-09-17,2024-04-23 00:00:00,Card
U100077,40,Male,Germany,Europe,Standard,13.99,2022-10-23,2026-02-07,Wallet
U100078,30,Male,France,Europe,Standard,13.99,2023-07-08,2024-11-27 00:00:00,Card
U100079,60,Female,USA,North America,Standard,13.99,2022-10-29,2026-02-07,Wallet
U100080,40,Male,India,Asia,Standard,13.99,2022-04-12,2026-02-07,Card
U100081,17,Female,USA,North America,Premium,17.99,2022-10-04,2026-02-07,Wallet
U100082,60,Male,Canada,North America,Standard,13.99,2023-08-05,2026-02-07,Wallet
U100083,17,Male,Canada,North America,Standard,13.99,2022-10-30,2026-02-07,Wallet
U100084,30,Female,India,Asia,Standard,13.99,2024-01-14,2026-02-07,Card
U100085,21,Female,France,Europe,Premium,17.99,2022-04-18,2026-02-07,Bank Transfer
U100086,17,Female,UK,Europe,Premium,17.99,2023-06-16,2024-11-26 00:00:00,Wallet
U100087,40,Female,Brazil,South America,Basic,8.99,2023-01-07,2026-02-07,Bank Transfer
U100088,21,Male,Germany,Europe,Standard,13.99,2023-05-23,2026-02-07,Bank Transfer
U100089,30,Female,France,Europe,Basic,8.99,2022-11-17,2023-04-09 00:00:00,Wallet
U100090,21,Female,Japan,Asia,Premium,17.99,2023-03-26,2026-02-07,Bank Transfer
U100091,50,Male,Germany,Europe,Basic,8.99,2022-12-20,2024-06-03 00:00:00,Bank Transfer
U100092,50,Male,India,Asia,Standard,13.99,2024-01-25,2026-02-07,Card
U100093,60,Female,South Africa,Africa,Basic,8.99,2024-01-09,2024-11-22 00:00:00,Card
U100094,17,Female,Canada,North America,Basic,8.99,2022-02-09,2026-02-07,Card
U100095,60,Male,Brazil,South America,Standard,13.99,2024-03-28,2026-02-07,Wallet
U100096,50,Male,Canada,North America,Basic,8.99,2023-03-27,2026-02-07,Wallet
U100097,30,Male,Brazil,South America,Standard,13.99,2022-03-26,2026-02-07,Card
U100098,17,Male,Germany,Europe,Basic,8.99,2022-11-13,2023-02-10 00:00:00,Card
U100099,30,Male,UK,Europe,Premium,17.99,2022-08-05,2026-02-07,Bank Transfer
U100100,50,Female,India,Asia,Premium,17.99,2024-05-07,2026-02-07,Bank Transfer
U100101,60,Female,India,Asia,Premium,17.99,2023-03-02,2026-02-07,Card
U100102,50,Female,Canada,North America,Standard,13.99,2022-03-25,2026-02-07,Bank Transfer
U100103,50,Female,South Africa,Africa,Basic,8.99,2023-08-21,2026-02-07,Wallet
U100104,60,Male,UK,Europe,Basic,8.99,2022-03-02,2026-02-07,Card
U100105,60,Female,Japan,Asia,Premium,17.99,2022-02-06,2026-02-07,Wallet
U100106,17,Female,Canada,North America,Standard,13.99,2022-04-04,2026-02-07,Bank Transfer
U100107,50,Female,UK,Europe,Basic,8.99,2022-12-05,2026-02-07,Wallet
U100108,50,Male,Germany,Europe,Basic,8.99,2022-05-05,2023-03-07 00:00:00,Wallet
U100109,60,Female,India,Asia,Basic,8.99,2023-07-31,2026-02-07,Wallet
U100110,40,Female,Japan,Asia,Premium,17.99,2023-07-07,2023-12-12 00:00:00,Bank Transfer
U100111,50,Female,South Africa,Africa,Basic,8.99,2022-04-29,2026-02-07,Bank Transfer
U100112,50,Male,France,Europe,Premium,17.99,2022-08-25,2023-05-29 00:00:00,Wallet
U100113,50,Male,UK,Europe,Standard,13.99,2023-11-14,2026-02-07,Bank Transfer
U100114,21,Female,Nigeria,Africa,Premium,17.99,2022-04-23,2026-02-07,Wallet
U100115,30,Female,South Africa,Africa,Standard,13.99,2022-12-30,2026-02-07,Card
U100116,40,Female,Japan,Asia,Premium,17.99,2024-01-23,2026-02-07,Card
U100117,60,Female,France,Europe,Basic,8.99,2023-03-15,2026-02-07,Bank Transfer
U100118,40,Female,UK,Europe,Premium,17.99,2023-04-18,2026-02-07,Bank Transfer
U100119,50,Male,Germany,Europe,Basic,8.99,2022-05-22,2026-02-07,Wallet
U100120,30,Female,Germany,Europe,Premium,17.99,2022-08-11,2022-12-27 00:00:00,Bank Transfer
U100121,21,Male,USA,North America,Basic,8.99,2023-03-16,2023-05-05 00:00:00,Bank Transfer
U100122,17,Male,Brazil,South America,Basic,8.99,2024-01-23,2026-02-07,Card
U100123,21,Male,USA,North America,Basic,8.99,2023-06-07,2026-02-07,Card
U100124,40,Male,Japan,Asia,Standard,13.99,2023-12-04,2026-02-07,Bank Transfer
U100125,17,Female,India,Asia,Premium,17.99,2023-04-21,2026-02-07,Wallet
U100126,21,Female,Germany,Europe,Basic,8.99,2023-09-22,2026-02-07,Card
U100127,40,Male,Nigeria,Africa,Basic,8.99,2023-09-30,2026-02-07,Wallet
U100128,50,Male,Canada,North America,Standard,13.99,2022-03-09,2022-07-21 00:00:00,Bank Transfer
U100129,21,Female,Japan,Asia,Standard,13.99,2022-11-15,2026-02-07,Bank Transfer
U100130,60,Male,India,Asia,Basic,8.99,2022-10-06,2026-02-07,Wallet
U100131,21,Male,Germany,Europe,Basic,8.99,2022-12-10,2023-05-06 00:00:00,Bank Transfer
U100132,21,Female,Canada,North America,Basic,8.99,2023-01-05,2023-04-22 00:00:00,Wallet
U100133,50,Male,India,Asia,Basic,8.99,2023-07-19,2026-02-07,Wallet
U100134,40,Male,UK,Europe,Standard,13.99,2022-06-25,2026-02-07,Wallet
U100135,50,Male,Germany,Europe,Basic,8.99,2023-10-20,2026-02-07,Card
U100136,30,Female,South Africa,Africa,Premium,17.99,2024-01-30,2026-02-07,Wallet
U100137,60,Female,Canada,North America,Premium,17.99,2023-09-03,2026-02-07,Card
U100138,50,Male,Canada,North America,Basic,8.99,2023-01-27,2026-02-07,Wallet
U100139,60,Female,France,Europe,Basic,8.99,2023-11-30,2026-02-07,Bank Transfer
U100140,40,Female,France,Europe,Premium,17.99,2023-08-25,2026-02-07,Bank Transfer
U100141,17,Female,Japan,Asia,Standard,13.99,2022-05-18,2026-02-07,Bank Transfer
U100142,21,Female,Brazil,South America,Premium,17.99,2024-03-11,2026-02-07,Card
U100143,21,Female,Brazil,South America,Basic,8.99,2023-06-25,2026-02-07,Card
U100144,50,Female,South Africa,Africa,Premium,17.99,2024-05-06,2025-11-07 00:00:00,Bank Transfer
U100145,40,Male,Nigeria,Africa,Basic,8.99,2022-08-20,2026-02-07,Wallet
U100146,40,Female,Germany,Europe,Premium,17.99,2023-01-24,2026-02-07,Card
U100147,30,Male,USA,North America,Basic,8.99,2023-10-03,2024-06-27 00:00:00,Card
U100148,40,Male,Nigeria,Africa,Basic,8.99,2024-03-23,2026-02-07,Bank Transfer
U100149,50,Female,Japan,Asia,Premium,17.99,2023-07-05,2026-02-07,Card
U100150,40,Male,USA,North America,Premium,17.99,2022-06-24,2026-02-07,Card
U100151,40,Male,France,Europe,Basic,8.99,2024-04-08,2026-02-07,Bank Transfer
U100152,21,Female,UK,Europe,Basic,8.99,2023-11-19,2025-02-08 00:00:00,Bank Transfer
U100153,17,Male,Canada,North America,Standard,13.99,2023-01-14,2026-02-07,Card
U100154,17,Male,India,Asia,Basic,8.99,2024-05-23,2025-08-15 00:00:00,Bank Transfer
U100155,50,Female,South Africa,Africa,Basic,8.99,2023-07-21,2026-02-07,Bank Transfer
U100156,17,Male,Canada,North America,Basic,8.99,2024-01-26,2026-02-07,Card
U100157,17,Female,India,Asia,Premium,17.99,2023-05-26,2026-02-07,Bank Transfer
U100158,50,Male,India,Asia,Premium,17.99,2024-03-04,2026-02-07,Card
U100159,50,Male,India,Asia,Standard,13.99,2022-06-17,2026-02-07,Wallet
U100160,40,Male,France,Europe,Basic,8.99,2022-07-25,2026-02-07,Wallet
U100161,30,Male,Canada,North America,Standard,13.99,2022-11-30,2026-02-07,Bank Transfer
U100162,17,Male,Brazil,South America,Basic,8.99,2022-05-02,2026-02-07,Wallet
U100163,17,Male,Japan,Asia,Basic,8.99,2022-02-24,2022-04-18 00:00:00,Card
U100164,50,Male,USA,North America,Basic,8.99,2023-08-22,2026-02-07,Bank Transfer
U100165,40,Female,South Africa,Africa,Basic,8.99,2022-07-21,2026-02-07,Card
U100166,17,Female,India,Asia,Standard,13.99,2022-06-30,2026-02-07,Bank Transfer
U100167,21,Male,Germany,Europe,Basic,8.99,2023-10-06,2024-10-19 00:00:00,Bank Transfer
U100168,21,Female,Nigeria,Africa,Basic,8.99,2022-03-30,2022-10-09 00:00:00,Wallet
U100169,21,Male,USA,North America,Premium,17.99,2023-04-01,2026-02-07,Bank Transfer
U100170,21,Female,Nigeria,Africa,Premium,17.99,2024-03-22,2026-02-07,Bank Transfer
U100171,40,Female,Brazil,South America,Standard,13.99,2024-02-23,2026-02-07,Wallet
U100172,60,Male,India,Asia,Basic,8.99,2024-03-16,2026-02-07,Wallet
U100173,17,Female,USA,North America,Standard,13.99,2022-04-29,2026-02-07,Bank Transfer
U100174,60,Female,South Africa,Africa,Premium,17.99,2022-07-05,2026-02-07,Card
U100175,50,Female,India,Asia,Standard,13.99,2023-10-01,2026-02-07,Card
U100176,50,Female,India,Asia,Standard,13.99,2023-02-05,2026-02-07,Bank Transfer
U100177,40,Male,South Africa,Africa,Premium,17.99,2024-02-23,2026-02-07,Wallet
U100178,40,Male,Canada,North America,Standard,13.99,2022-02-15,2026-02-07,Wallet
U100179,21,Female,Germany,Europe,Basic,8.99,2023-11-10,2026-02-07,Card
U100180,21,Male,Canada,North America,Standard,13.99,2023-11-13,2026-02-07,Bank Transfer
U100181,40,Female,Japan,Asia,Basic,8.99,2022-11-27,2023-12-17 00:00:00,Bank Transfer
U100182,40,Female,France,Europe,Basic,8.99,2024-06-14,2026-02-07,Bank Transfer
U100183,17,Female,South Africa,Africa,Basic,8.99,2023-11-02,2026-02-07,Wallet
U100184,50,Female,Canada,North America,Standard,13.99,2023-06-12,2026-02-07,Card
U100185,50,Male,France,Europe,Basic,8.99,2022-03-22,2026-02-07,Card
U100186,21,Male,France,Europe,Premium,17.99,2024-02-20,2026-02-07,Wallet
U100187,50,Female,Japan,Asia,Premium,17.99,2022-07-11,2026-02-07,Card
U100188,50,Female,USA,North America,Basic,8.99,2022-01-19,2026-02-07,Wallet
U100189,17,Male,France,Europe,Premium,17.99,2022-04-28,2026-02-07,Card
U100190,21,Male,USA,North America,Basic,8.99,2022-09-07,2026-02-07,Wallet
U100191,30,Male,Nigeria,Africa,Standard,13.99,2022-03-25,2026-02-07,Bank Transfer
U100192,50,Male,Nigeria,Africa,Basic,8.99,2022-02-02,2026-02-07,Bank Transfer
U100193,21,Female,France,Europe,Standard,13.99,2023-06-17,2026-02-07,Bank Transfer
U100194,30,Male,Brazil,South America,Basic,8.99,2024-01-29,2024-04-10 00:00:00,Card
U100195,21,Male,France,Europe,Standard,13.99,2022-08-19,2026-02-07,Card
U100196,50,Male,Brazil,South America,Standard,13.99,2023-03-09,2026-02-07,Bank Transfer
U100197,21,Male,India,Asia,Standard,13.99,2022-10-09,2026-02-07,Card
U100198,50,Male,Germany,Europe,Standard,13.99,2022-12-07,2026-02-07,Bank Transfer
U100199,21,Female,South Africa,Africa,Standard,13.99,2023-10-13,2026-02-07,Bank Transfer
U100200,30,Male,Brazil,South America,Basic,8.99,2022-03-27,2026-02-07,Bank Transfer
U100201,60,Male,UK,Europe,Basic,8.99,2024-02-27,2026-02-07,Card
U100202,17,Female,USA,North America,Basic,8.99,2024-04-03,2026-02-07,Bank Transfer
U100203,21,Female,Brazil,South America,Premium,17.99,2023-12-02,2026-02-07,Card
U100204,50,Female,Japan,Asia,Premium,17.99,2022-04-17,2026-02-07,Wallet
U100205,60,Male,USA,North America,Basic,8.99,2022-10-25,2024-05-11 00:00:00,Card
U100206,30,Female,USA,North America,Standard,13.99,2022-06-18,2026-02-07,Card
U100207,60,Female,Germany,Europe,Standard,13.99,2024-04-14,2026-02-07,Card
U100208,17,Female,Brazil,South America,Standard,13.99,2024-04-10,2026-02-07,Bank Transfer
U100209,50,Female,UK,Europe,Basic,8.99,2024-02-16,2024-12-07 00:00:00,Card
U100210,30,Male,Japan,Asia,Basic,8.99,2022-04-22,2026-02-07,Card
U100211,21,Male,India,Asia,Premium,17.99,2022-04-02,2026-02-07,Bank Transfer
U100212,60,Female,France,Europe,Premium,17.99,2023-12-15,2026-02-07,Bank Transfer
U100213,40,Male,France,Europe,Premium,17.99,2022-07-17,2026-02-07,Wallet
U100214,40,Female,UK,Europe,Standard,13.99,2022-04-12,2026-02-07,Bank Transfer
U100215,40,Male,India,Asia,Premium,17.99,2022-02-03,2026-02-07,Wallet
U100216,30,Male,UK,Europe,Standard,13.99,2022-04-15,2026-02-07,Bank Transfer
U100217,30,Female,India,Asia,Premium,17.99,2024-03-09,2026-02-07,Wallet
U100218,21,Female,Canada,North America,Standard,13.99,2023-02-11,2026-02-07,Bank Transfer
U100219,50,Male,USA,North America,Standard,13.99,2023-02-23,2026-02-07,Card
U100220,21,Male,South Africa,Africa,Basic,8.99,2024-05-12,2026-02-07,Wallet
U100221,30,Female,UK,Europe,Standard,13.99,2022-11-09,2026-02-07,Card
U100222,30,Female,France,Europe,Standard,13.99,2024-03-06,2026-02-07,Wallet
U100223,40,Female,Japan,Asia,Standard,13.99,2022-04-23,2026-02-07,Card
U100224,40,Female,South Africa,Africa,Premium,17.99,2023-03-18,2026-02-07,Card
U100225,40,Male,Canada,North America,Standard,13.99,2024-01-06,2024-10-17 00:00:00,Card
U100226,60,Female,Japan,Asia,Standard,13.99,2023-05-01,2024-07-17 00:00:00,Wallet
U100227,60,Female,Brazil,South America,Premium,17.99,2022-08-07,2026-02-07,Bank Transfer
U100228,50,Male,Canada,North America,Basic,8.99,2022-11-17,2026-02-07,Bank Transfer
U100229,17,Male,Canada,North America,Basic,8.99,2022-09-15,2026-02-07,Wallet
U100230,40,Female,France,Europe,Standard,13.99,2024-01-02,2026-02-07,Wallet
U100231,60,Male,UK,Europe,Premium,17.99,2023-12-28,2026-02-07,Bank Transfer
U100232,50,Female,Brazil,South America,Basic,8.99,2024-01-24,2026-02-07,Card
U100233,21,Female,Japan,Asia,Standard,13.99,2024-05-26,2026-02-07,Wallet
U100234,30,Male,Japan,Asia,Standard,13.99,2023-11-17,2026-02-07,Card
U100235,60,Male,UK,Europe,Premium,17.99,2024-05-29,2026-02-07,Card
U100236,50,Male,Germany,Europe,Standard,13.99,2023-12-21,2026-02-07,Wallet
U100237,17,Male,India,Asia,Standard,13.99,2023-02-10,2026-02-07,Card
U100238,21,Female,South Africa,Africa,Basic,8.99,2023-12-17,2026-02-07,Wallet
U100239,50,Female,Japan,Asia,Standard,13.99,2024-02-27,2026-02-07,Card
U100240,21,Female,UK,Europe,Standard,13.99,2023-05-25,2026-02-07,Bank Transfer
U100241,21,Female,India,Asia,Basic,8.99,2022-11-30,2026-02-07,Card
U100242,60,Male,Nigeria,Africa,Standard,13.99,2023-05-10,2026-02-07,Bank Transfer
U100243,17,Male,France,Europe,Basic,8.99,2022-11-26,2026-02-07,Card
U100244,50,Female,India,Asia,Premium,17.99,2022-11-02,2026-02-07,Bank Transfer
U100245,60,Male,France,Europe,Standard,13.99,2022-10-24,2026-02-07,Bank Transfer
U100246,40,Male,France,Europe,Standard,13.99,2022-01-11,2026-02-07,Wallet
U100247,50,Male,USA,North America,Basic,8.99,2023-11-30,2024-07-27 00:00:00,Card
U100248,30,Male,UK,Europe,Standard,13.99,2022-05-22,2026-02-07,Bank Transfer
U100249,40,Male,Brazil,South America,Basic,8.99,2022-11-24,2026-02-07,Wallet
U100250,60,Female,Japan,Asia,Standard,13.99,2024-03-05,2026-02-07,Card
U100251,30,Male,Nigeria,Africa,Basic,8.99,2023-09-30,2026-02-07,Bank Transfer
U100252,40,Male,France,Europe,Basic,8.99,2022-01-24,2023-08-12 00:00:00,Bank Transfer
U100253,30,Female,South Africa,Africa,Standard,13.99,2023-01-22,2026-02-07,Wallet
U100254,30,Female,South Africa,Africa,Standard,13.99,2022-05-29,2023-02-28 00:00:00,Wallet
U100255,30,Male,South Africa,Africa,Basic,8.99,2023-11-12,2025-01-06 00:00:00,Bank Transfer
U100256,60,Male,UK,Europe,Standard,13.99,2024-05-23,2026-02-07,Wallet
U100257,21,Female,Japan,Asia,Standard,13.99,2024-04-26,2026-02-07,Card
U100258,50,Female,Japan,Asia,Premium,17.99,2022-05-25,2026-02-07,Bank Transfer
U100259,17,Female,USA,North America,Premium,17.99,2023-02-22,2023-09-26 00:00:00,Bank Transfer
U100260,30,Female,Nigeria,Africa,Premium,17.99,2022-03-19,2026-02-07,Bank Transfer
U100261,30,Male,Japan,Asia,Standard,13.99,2023-11-29,2024-01-31 00:00:00,Wallet
U100262,60,Male,Canada,North America,Basic,8.99,2023-11-20,2026-02-07,Card
U100263,50,Male,South Africa,Africa,Basic,8.99,2022-07-14,2026-02-07,Card
U100264,21,Male,Brazil,South America,Basic,8.99,2022-06-06,2026-02-07,Card
U100265,17,Male,UK,Europe,Premium,17.99,2023-10-07,2026-02-07,Wallet
U100266,40,Male,Canada,North America,Premium,17.99,2022-09-24,2026-02-07,Bank Transfer
U100267,50,Male,USA,North America,Standard,13.99,2024-03-25,2026-02-07,Card
U100268,30,Male,Japan,Asia,Premium,17.99,2023-03-04,2026-02-07,Wallet
U100269,21,Female,Germany,Europe,Standard,13.99,2022-10-15,2026-02-07,Wallet
U100270,40,Male,UK,Europe,Basic,8.99,2022-02-17,2026-02-07,Wallet
U100271,60,Female,Nigeria,Africa,Standard,13.99,2022-07-20,2026-02-07,Card
U100272,60,Male,Nigeria,Africa,Basic,8.99,2022-05-02,2026-02-07,Card
U100273,60,Female,France,Europe,Standard,13.99,2023-07-09,2026-02-07,Bank Transfer
U100274,40,Male,Japan,Asia,Premium,17.99,2023-08-27,2026-02-07,Card
U100275,40,Male,Japan,Asia,Basic,8.99,2022-11-26,2026-02-07,Wallet
U100276,40,Male,India,Asia,Basic,8.99,2023-10-12,2026-02-07,Wallet
U100277,60,Male,Brazil,South America,Premium,17.99,2022-11-24,2026-02-07,Wallet
U100278,40,Female,Japan,Asia,Basic,8.99,2023-03-18,2026-02-07,Bank Transfer
U100279,17,Female,USA,North America,Basic,8.99,2022-08-20,2026-02-07,Wallet
U100280,21,Female,India,Asia,Basic,8.99,2024-03-24,2026-02-07,Wallet
U100281,50,Female,UK,Europe,Basic,8.99,2022-04-14,2026-02-07,Wallet
U100282,21,Female,Japan,Asia,Standard,13.99,2023-03-09,2026-02-07,Bank Transfer
U100283,21,Male,France,Europe,Standard,13.99,2024-05-18,2026-02-07,Card
U100284,30,Female,UK,Europe,Premium,17.99,2022-06-28,2023-09-05 00:00:00,Card
U100285,40,Male,USA,North America,Standard,13.99,2022-10-02,2026-02-07,Bank Transfer
U100286,40,Female,South Africa,Africa,Standard,13.99,2024-01-21,2026-02-07,Wallet
U100287,40,Female,France,Europe,Basic,8.99,2022-09-09,2026-02-07,Wallet
U100288,60,Male,UK,Europe,Premium,17.99,2022-11-05,2023-09-27 00:00:00,Bank Transfer
U100289,60,Male,Germany,Europe,Basic,8.99,2023-02-04,2024-05-31 00:00:00,Bank Transfer
U100290,17,Male,UK,Europe,Premium,17.99,2023-05-27,2026-02-07,Card
U100291,17,Female,India,Asia,Premium,17.99,2023-04-15,2026-02-07,Wallet
U100292,40,Female,South Africa,Africa,Basic,8.99,2023-10-11,2025-01-31 00:00:00,Card
U100293,40,Female,France,Europe,Basic,8.99,2022-02-19,2026-02-07,Card
U100294,21,Male,South Africa,Africa,Standard,13.99,2023-04-18,2026-02-07,Card
U100295,50,Male,USA,North America,Basic,8.99,2024-02-11,2026-02-07,Wallet
U100296,30,Male,Canada,North America,Standard,13.99,2022-02-05,2026-02-07,Bank Transfer
U100297,17,Male,Japan,Asia,Basic,8.99,2022-05-07,2026-02-07,Bank Transfer
U100298,30,Male,Japan,Asia,Basic,8.99,2023-01-02,2026-02-07,Bank Transfer
U100299,40,Male,Canada,North America,Premium,17.99,2022-05-14,2026-02-07,Wallet
U100300,21,Male,South Africa,Africa,Basic,8.99,2023-10-12,2024-10-29 00:00:00,Wallet
U100301,30,Male,USA,North America,Basic,8.99,2024-05-15,2026-02-07,Wallet
U100302,17,Female,France,Europe,Standard,13.99,2022-07-30,2026-02-07,Card
U100303,60,Male,Brazil,South America,Standard,13.99,2023-02-04,2026-02-07,Card
U100304,60,Male,France,Europe,Standard,13.99,2024-05-23,2026-02-07,Card
U100305,21,Female,Canada,North America,Standard,13.99,2022-05-12,2026-02-07,Wallet
U100306,21,Male,Brazil,South America,Standard,13.99,2023-10-09,2026-02-07,Bank Transfer
U100307,17,Female,Japan,Asia,Premium,17.99,2022-01-03,2026-02-07,Wallet
U100308,60,Female,UK,Europe,Basic,8.99,2023-05-12,2026-02-07,Card
U100309,30,Male,Nigeria,Africa,Basic,8.99,2022-06-24,2026-02-07,Wallet
